"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"466","bee","chase","with","carrots","bicycle","porch","mop","stay","us","hair","quack quack","dark","there","nice","drive","picture","boots","nap","meow","candy","toy (object)","chair","grandpa","tricycle","in","pick","this","camping","money","stroller","popcorn","take","shopping","is","time","corn","peas","drawer","asleep","butter","high","watch (action)","flag","break","pickle","snack","lunch","open (action)","soft","owl"
"467","none","zoo","cereal","taste","table","chicken (animal)","about","green","break","smile","quiet","big","stone","this","cute","kitty","heavy","fish (food)","aunt","big","water (not beverage)","loud","bicycle","before","pillow","cook","when (question)","milk","if","ice cream","child","butter","tiny","long","drive","bubbles","finish","knock","blue","cheese","watch (action)","how","hug","mine","kiss","drive","applesauce","think","jar","walk"
"468","blue","arm","for","break","about","grrr","shoe","bring","other","lamb","pony","pool","gonna","movie","pretty","basement","here","too","clap","glass","wake","hate","above","tv","were","look","lawn mower","cow","shake","break","bathroom","buy","buy","pickle","aunt","nuts","she","try","other","play pen","hide","fix","is","pretzel","book","bring","dump","turkey","book","vitamins"
"469","morning","slide (object)","this","hose","but","glue","deer","later","pony","circus","juice","mine","hard","help","popcorn","brush (object)","pattycake","open (action)","bottle","lunch","old","animal","long","sneaker","oven","firetruck","watch (object)","popcorn","chalk","new","pony","cookie","camera","wake","tongue","lips","hungry","ankle","soft","if","motorcycle","dark","glass","stone","firetruck","egg","raisin","lion","sick","brown"
"470","radio","tissue","tricycle","apple","thirsty","stairs","who","hungry","thirsty","show","better","watch (action)","drive","none","did","slow","nuts","pour","girl","taste","spoon","try","wish","grass","potato chip","it","potato","shopping","loud","person","behind","pizza","friend","bite","wake","noodles","cut","after","outside","food","fast","can (auxiliary)","see","pumpkin","will","soda","squirrel","pants","thirsty","touch"
"471","nose","but","sweep","kitty","egg","lady","downtown","sing","shoulder","garage","we","before","every","these","salt","story","sweep","game","ant","woods","glue","helicopter","grrr","spill","new","boy","gotta","underpants","toothbrush","cracker","owie","no","coffee","finger","quack quack","gas station","penguin","uh oh","good","thank you","tickle","behind","tonight","empty","rain","fine","then","dark","snow","street"
"472","with","on","stop","mad","she","run","lollipop","picnic","sit","orange (description)","cat","milk","today","finger","pick","jar","peas","to","taste","yes","wash","be","bowl","hurt (description)","not","movie","slow","monkey","cloud","ear","slow","full","choo choo","on","if","pretzel","sock","hammer","choo choo","drawer","read","face","pour","up","nuts","any","by","gonna","popcorn","wash"
"473","better","tonight","star","brown","last","dog","fit","shorts","tiger","take","naughty","who","peanut butter","day","jar","bus","stove","toy (object)","people","sink","find","some","first","turtle","swim","tuna","tiny","carry","sheep","downtown","break","sing","fast","that","pick","jello","now","hard","more","little (description)","beads","listen","up","popcorn","garbage","crib","downtown","stone","bear","last"
"474","cry","lick","turtle","stop","long","beads","yesterday","cheese","moon","bump","new","vanilla","box","breakfast","country","mine","pretty","mad","tuna","into","close","peas","cowboy","blow","pick","taste","potty","cut","ride","puzzle","circus","dirty","tv","scissors","cheese","room","teacher","heavy","he","tv","dump","slipper","teacher","pajamas","the","like","their","him","to","sweep"
"475","snowman","think","try","happy","pumpkin","new","shovel","fish (animal)","garden","pudding","cow","his","jump","sky","that","fireman","vroom","myself","lion","trash","bite","stay","nails","grrr","cold","daddy","sweep","sweep","high chair","white","lamb","window","run","cheerios","table","full","say","pattycake","jelly","sink","did","soda","window","into","gonna","soup","fall","deer","cowboy","all"
"476","make","paper","fish (animal)","beads","if","raisin","cow","quack quack","mouse","hers","tonight","turkey","jeans","share","button","tuna","tray","eye","glue","stone","hold","pancake","put","catch","doctor","soft","bubbles","lamp","nuts","think","play dough","hat","kitty","where (question)","over","dog","eat","good night","drive","stop","kick","keys","every","gotta","bus","meat","moose","pull","hers","bed"
"477","peanut butter","happy","sink","dump","yum yum","ride","love","black","cloud","cut","church","home","she","over","towel","hers","wet (description)","soft","full","chicken (food)","here","play dough","hello","sled","fast","ouch","milk","owl","into","yucky","pattycake","hot","sit","hate","plant","broken","sit","new","around","climb","mine","was","sticky","brush (object)","moose","her","ride","strawberry","keys","of"
"478","snowsuit","she","cute","off","peanut butter","grandpa","too","time","grapes","chocolate","melon","mittens","our","yogurt","wanna","this","ladder","truck","person","happy","diaper","walk","shoe","popcorn","store","lips","cook","down","tomorrow","us","white","which (question)","some","please","ant","catch","brown","nap","wash","sleepy","sleepy","pencil","juice","hot","meat","bird","listen","jar","ride","it"
"479","tape","motorcycle","sleep","potato","cow","hello","be","find","milk","his","hold","green","sick","boat","keys","splash","milk","necklace","myself","vroom","glass","shoulder","cheerios","melon","sing","pudding","telephone","catch","grrr","play","baby","smile","walker","into","sleep","jump","blue","these","show","hers","woof woof","wait","meat","look","ice","moo","grandma","kitty","some","daddy"
"480","nice","trash","quiet","strawberry","comb (object)","lion","here","behind","am","friend","wipe","open (action)","kiss","pickle","stove","white","dry (action)","hit","hold","hear","finish","into","zipper","she","hi","refrigerator","elephant","push","wet (description)","hers","owl","catch","dump","before","mouth","choo choo","people","hear","cold","what","tuna","taste","hate","mop","much","hafta","dress (object)","make","clap","tiny"
"481","grapes","around","cheerios","better","play dough","drive","beside","gentle","gentle","bathroom","stove","ice cream","knock","thirsty","happy","mouse","read","hamburger","stay","hello","push","slow","monkey","throw","run","sun","wind","home","wind","tonight","plate","mine","cheerios","make","nails","rocking chair","toy (object)","have","each","puzzle","boots","pillow","green","light","candy","drop","breakfast","talk","touch","home"
"482","eat","naughty","police","am","with","toast","pumpkin","under","penny","raisin","doctor","skate","french fries","bed","be","talk","try","drop","cat","pool","careful","cereal","show","later","her","if","here","awake","each","cheek","after","none","apple","catch","swing (action)","slow","pancake","white","hot","windy","our","fireman","zoo","wish","home","cheese","open (action)","house","gloves","doctor"
"483","their","when (question)","bite","fast","ice cream","tuna","light","snack","who","heavy","give","naughty","chocolate","broken","love","mouth","basket","trash","owie","slow","fall","new","tissue","time","meow","ice","buy","grapes","write","thank you","moo","broken","cheese","pizza","farm","above","spoon","farm","take","hold","taste","butter","sheep","penguin","quiet","cold","puzzle","snowsuit","soup","play pen"
"484","bib","open (action)","doll","bump","black","skate","why","sun","myself","ice cream","circus","were","hear","hear","beads","yucky","morning","gum","play dough","can (auxiliary)","sled","school","her","careful","a lot","cry","sheep","better","glass","how","cheerios","ankle","slow","heavy","hide","police","doctor","look","couch","school","wet (description)","in","last","deer","time","for","stay","stick","donut","spaghetti"
"485","dark","pumpkin","think","these","say","butterfly","me","more","hers","they","time","cold","train","climb","sprinkler","vanilla","farm","bird","chase","so","on","gloves","naughty","lollipop","about","were","did","chalk","bathroom","find","stove","find","bear","off","lamp","that","nose","show","gentle","thirsty","mad","block","penny","pizza","stone","listen","how","lollipop","wind","people"
"486","cracker","pen","what","grandma","hug","hi","lawn mower","cut","have","garbage","throw","shh","get","write","show","cut","airplane","vagina","under","grandma","yellow","fix","drop","plate","rocking chair","tights","apple","sandwich","tired","rip","people","sticky","orange (food)","clock","bubbles","yes","blanket","in","bee","hafta","those","splash","ice","eat","cut","go","cut","dump","would","bye"
"487","drop","street","heavy","for","full","sink","carrots","rip","beads","shh","sweater","at","hi","animal","after","other","his","with","vroom","pencil","black","could","moo","share","into","who","show","happy","too","aunt","jar","ouch","away","woof woof","finger","deer","up","couch","hair","pattycake","street","yellow","dry (action)","try","deer","kitty","thank you","park","blue","drink (action)"
"488","fit","they","chalk","airplane","friend","behind","draw","nuts","hi","open (action)","picture","hit","big","splash","downtown","run","uh oh","at","window","ice cream","wanna","orange (food)","good","snowman","yes","yes","sweater","turkey","fall","baby","would","wait","puppy","see","shorts","sauce","uncle","owl","fit","blow","sidewalk","rocking chair","knock","night","woods","bug","garbage","yourself","cute","beads"
"489","wanna","ant","eat","need","spoon","puppy","sauce","turtle","spaghetti","wet (description)","no","pretend","bedroom","star","juice","gum","purse","those","nice","chase","pudding","noisy","bite","of","uncle","dance","these","was","towel","cat","stop","mop","do","every","owie","day","bye","mad","man","time","banana","moo","porch","back (location)","high","cowboy","green","into","chalk","write"
"490","milk","monkey","animal","soda","banana","morning","eye","apple","sidewalk","could","lips","people","happy","ice","when (question)","gloves","carry","hers","by","pretty","button","lady","home","fix","them","milk","naughty","bug","coffee","same","too","room","beach","pumpkin","about","white","feed","am","orange (description)","skate","gas station","drop","melon","good","we","please","high","a lot","swim","time"
"491","those","above","taste","outside","clean (action)","people","moo","dress (object)","around","pretend","dirty","strawberry","tree","gum","us","behind","moose","pull","hit","hit","pretend","have","camping","love","feed","slide (object)","keys","windy","this","nose","hide","juice","chase","read","swim","which (question)","sauce","taste","their","wet (description)","run","toothbrush","stay","knock","country","me","hers","jello","like","yogurt"
"492","vanilla","our","zebra","be","clown","gas station","behind","butterfly","clean (action)","yum yum","tray","yogurt","naughty","some","you","pig","radio","about","ouch","ice","stay","beach","does","at","noodles","aunt","yesterday","fix","washing machine","bear","home","new","time","in","under","can (auxiliary)","church","it","catch","fork","there","be","cloud","first","if","hug","knock","hose","us","hello"
"493","deer","cracker","glass","which (question)","skate","hurry","mailman","eye","here","aunt","raisin","lamb","sad","other","them","ball","hello","vitamins","water (not beverage)","sad","lawn mower","go","for","him","money","each","talk","lawn mower","myself","buy","sauce","drink (action)","by","be","nuts","owie","baby","doll","wish","corn","tomorrow","love","much","awake","above","another","picnic","orange (food)","people","chalk"
"494","up","are","hate","rooster","pants","tonight","off","hers","pool","water (not beverage)","clock","mad","foot","hot","movie","foot","out","shovel","sandwich","for","grandma","build","hear","uncle","our","bucket","hit","pick","put","donkey","glass","bread","sick","windy","quiet","later","chicken (animal)","snowman","kick","camping","milk","snow","run","hear","are","money","here","each","play","over"
"495","bedroom","gum","vagina","there","hard","soda","grandma","snowman","bird","windy","up","here","vroom","yes","beach","make","scared","for","so","walker","lollipop","nice","spill","porch","carry","wait","hard","jump","fix","more","catch","knock","tiger","muffin","clap","beach","run","like","where (question)","lollipop","full","awake","blow","tiny","after","country","lips","taste","cloud","butt"
"496","touch","hafta","soft","hurry","quack quack","wish","thank you","grandpa","poor","pretzel","moose","then","awake","potato chip","think","sprinkler","sit","uh oh","garbage","choo choo","squirrel","why","write","and","dry (action)","chalk","pudding","muffin","better","nice","he","crayon","knife","push","grrr","kitty","paint (action)","swim","raisin","church","mouse","into","yes","more","when (question)","helicopter","hard","stay","butter","gentle"
"497","too","slipper","yum yum","belly button","meow","do","listen","they","sheep","we","much","coke","meow","clock","bus","where (question)","quiet","quiet","sister","finish","think","gentle","paint (action)","pick","windy","choo choo","see","stop","behind","like","tomorrow","sauce","clap","apple","old","some","bicycle","fall","tractor","ice cream","over","brush (object)","tuna","lunch","in","catch","tickle","black","over","swing (action)"
"498","tooth","lady","toothbrush","if","camera","some","new","comb (object)","penguin","long","grapes","rip","fit","sticky","necklace","hurry","tape","splash","off","radio","deer","butterfly","shh","i","catch","brown","go","banana","gentle","show","candy","toast","build","awake","toy (object)","cake","behind","could","hafta","animal","later","cry","deer","sun","close","choo choo","build","bee","need","bench"
"499","medicine","would","hug","noisy","loud","fine","outside","man","bye","jelly","meat","butterfly","man","zipper","money","orange (description)","close","potato","orange (food)","penny","frog","blow","to","helicopter","like","throw","lemme","mad","open (action)","yum yum","brown","book","love","buy","fix","spaghetti","fine","sleepy","naughty","zoo","think","ice","police","tired","down","candy","dance","build","into","hair"
"500","sky","aunt","potato","she","block","say","money","tuna","bottle","can (auxiliary)","hamburger","a lot","tights","lemme","face","later","apple","cheerios","pumpkin","pickle","climb","on","with","push","at","noisy","radio","wash","shh","clock","grrr","egg","after","a","say","all","chicken (food)","make","out","hammer","wind","sauce","grandpa","happy","food","potato","today","fix","hello","take"
"501","sleep","which (question)","awake","box","lemme","donkey","hide","belt","kitchen","brown","taste","eat","cute","eat","quack quack","paper","off","talk","up","away","nuts","away","better","country","wish","lick","better","do","leg","giraffe","don't","tv","lips","salt","gonna","toy (object)","vitamins","chalk","quack quack","she","stick","pig","slow","tuna","grrr","flower","pickle","sweater","nose","bubbles"
"502","carrots","meat","tomorrow","go","gloves","vroom","back (location)","wish","cold","gentle","back (location)","popcorn","off","we","carry","stay","sad","knife","who","animal","out","downtown","share","story","monkey","catch","porch","vroom","beach","bite","medicine","toe","school","broom","closet","melon","new","hit","love","raisin","muffin","cheerios","skate","stop","were","mine","empty","skate","dog","did"
"503","good night","feed","towel","sad","elephant","this","sleep","bucket","person","nuts","beach","beans","later","apple","taste","glue","soap","school","stand","draw","nails","gotta","zebra","goose","kick","other","corn","full","fine","pants","time","gum","potato","snack","do","salt","quack quack","wash","ride","glue","yogurt","do","butt","turtle","knock","lawn mower","home","spill","off","full"
"504","peekaboo","washing machine","face","blow","tomorrow","splash","him","medicine","because","vanilla","sheep","candy","pickle","sweep","buy","sun","snack","stop","on","share","giraffe","snowsuit","stop","school","outside","close","rooster","ride","broom","tuna","purse","yum yum","peas","fix","wash","climb","them","rock (object)","would","hat","were","hamburger","frog","belly button","us","we","long","wish","show","sing"
"505","who","dump","new","much","fish (animal)","person","cut","jelly","hafta","so","money","your","sun","play dough","pickle","like","poor","later","tired","some","shh","make","child","outside","underpants","spill","wipe","blow","draw","why","little (description)","helicopter","a lot","soup","listen","heavy","dump","owie","stay","kick","owl","there","take","throw","sheep","outside","day","cracker","pattycake","car"
"506","slow","comb (object)","vroom","talk","downtown","they","pizza","soft","can (auxiliary)","yellow","gonna","fall","over","quack quack","here","she","then","happy","she","was","chair","cry","at","feed","carrots","get","about","time","hello","ice","lawn mower","bite","spaghetti","dark","yourself","orange (food)","next to","church","cute","wash","all","salt","soda","kick","at","watch (object)","last","pizza","vroom","hate"
"507","happy","rooster","dry (action)","wanna","there","bathtub","full","sandbox","dark","boy","myself","wake","run","play pen","hide","need","but","smile","then","gentle","better","then","try","over","fall","man","dirty","tired","muffin","cheerios","aunt","see","breakfast","spill","have","when (question)","dirty","shoulder","empty","ant","gentle","bye","aunt","watch (action)","belt","and","not","us","hafta","monkey"
"508","new","pattycake","if","drawer","pickle","smile","tray","tiny","shovel","noodles","nice","soft","bump","all","see","man","stand","good","bad","smile","blow","hear","us","bat","close","all","outside","brush (object)","cowboy","off","old","daddy","pretzel","chicken (food)","chase","hers","good night","naughty","now","behind","can (auxiliary)","boy","candy","quiet","bump","carry","push","bedroom","cheese","bathtub"
"509","pudding","turkey","hurt (description)","salt","them","pretzel","sock","chin","please","person","pattycake","yucky","aunt","dryer","uh oh","tiny","cry","sled","that","bad","why","boy","listen","sweater","breakfast","nurse","ear","country","swim","wipe","keys","make","later","candy","gentle","sofa","he","for","stop","next to","slide (object)","full","nose","coke","gas station","these","mad","none","ice","ant"
"510","us","clap","hello","keys","raisin","wolf","happy","into","garbage","find","mine","asleep","if","bite","over","cracker","gas station","light","shoulder","good night","pig","ice cream","here","elephant","bib","slow","nurse","paper","have","better","bring","hit","cute","watch (action)","in","money","crib","shopping","gonna","telephone","potty","over","that","carrots","drive","play dough","shopping","peekaboo","yes","fast"
"511","apple","beads","sled","who","above","door","pants","wash","to","mailman","around","because","muffin","out","dry (action)","give","play","juice","sticky","comb (object)","does","do","glasses","today","blue","sleepy","today","show","think","alligator","then","fine","knock","shopping","happy","orange (description)","downtown","orange (description)","star","watch (object)","red","thank you","better","ice cream","bear","snowsuit","share","candy","sun","table"
"512","giraffe","table","box","dinner","street","zebra","sing","by","kiss","lawn mower","underpants","kitchen","read","shoulder","put","peas","camping","tights","tear","will","show","grandpa","vanilla","ice","peekaboo","what","empty","look","brush (object)","blue","ant","lick","to","tonight","arm","try","hafta","carry","awake","of","pizza","fish (animal)","people","taste","put","wanna","water (not beverage)","bathroom","run","a lot"
"513","elephant","book","off","day","yourself","choo choo","wish","with","yard","dry (action)","now","woof woof","sweep","elephant","snowman","fall","fast","church","shake","carry","soft","tongue","time","vanilla","old","touch","sink","salt","dress (object)","kitty","more","around","jump","hot","fast","brown","block","kitty","cake","boy","uh oh","down","drop","play","shh","scarf","keys","and","bump","gas station"
"514","garage","look","scissors","owie","vroom","sock","snowsuit","quiet","stay","nice","too","around","walker","full","grapes","grass","now","watch (action)","say","coffee","grandpa","but","was","fine","blow","sauce","walker","not","us","morning","dish","high","talk","sheep","another","sit","high","camera","paint (action)","dry (action)","quiet","catch","white","outside","rock (object)","cloud","grrr","naughty","drop","box"
"515","love","need","look","sheep","are","tummy","potato chip","them","better","soft","they","which (question)","garbage","napkin","feed","yum yum","shoe","nuts","brush (object)","high","play pen","wake","teddybear","call on phone","stairs","tiger","draw","see","ladder","finish","flag","beads","of","loud","wanna","bathtub","here","give","milk","stay","hit","hello","boots","uh oh","jacket","grandpa","tractor","next to","empty","banana"
"516","awake","shirt","build","roof","please","pour","no","tape","moo","cowboy","a","after","yourself","night","tear","after","would","yes","draw","climb","watch (action)","feed","tomorrow","carrots","nuts","sled","be","you","scarf","lips","coat","milk","corn","man","tractor","hat","grapes","pony","uh oh","gonna","hate","and","gonna","what","bye","people","wipe","stop","juice","finish"
"517","sticky","yellow","french fries","asleep","think","old","take","of","but","need","pickle","time","this","spill","circus","hurt (description)","yes","none","eye","money","vagina","spaghetti","teacher","pizza","throw","bathroom","help","talk","the","quiet","feed","last","turkey","like","every","people","with","because","taste","bee","wanna","better","doctor","truck","grandma","poor","owie","soda","hear","could"
"518","bat","make","tear","poor","cold","cat","jeans","were","wash","table","swing (action)","show","long","vacuum","broken","sticky","i","stairs","her","play","wipe","sing","peas","hard","snow","will","brown","tonight","read","gas station","away","look","out","it","does","milk","pencil","grandma","muffin","bump","hold","nice","today","love","hide","long","help","grandpa","uncle","bug"
"519","baa baa","finish","clown","eat","high","a lot","home","wet (description)","those","plant","share","dirty","bicycle","bedroom","stand","their","high","was","zoo","knock","egg","poor","money","lick","dirty","then","shopping","hate","out","park","your","later","money","because","applesauce","vroom","bowl","put","nurse","black","another","last","teddybear","yellow","hi","tractor","for","jelly","woof woof","sauce"
"520","of","your","did","fit","gas station","touch","gentle","bye","under","gum","rip","tooth","new","present","eat","every","were","bench","tv","button","window","kick","because","where (question)","noisy","her","church","finish","paper","slow","watch (action)","cut","girl","noodles","crib","shake","much","take","pudding","dark","every","peekaboo","toy (object)","careful","big","sticky","sick","throw","stick","spill"
"521","breakfast","truck","jump","a lot","movie","quack quack","soap","is","blow","crayon","play","will","purse","tiny","all","shopping","white","lady","shovel","touch","chocolate","quack quack","make","sit","drop","into","share","applesauce","rooster","slide (object)","thank you","hers","poor","lunch","pizza","they","in","gum","get","then","buy","woods","owl","if","pretzel","if","play","rocking chair","picnic","store"
"522","be","pretzel","catch","pretend","up","country","brush (object)","chalk","chocolate","break","cook","shake","ear","awake","peekaboo","do","get","bump","sweep","under","flag","listen","say","behind","naughty","nice","before","so","splash","some","for","wake","cracker","need","him","hungry","splash","carrots","snowsuit","pizza","grrr","close","airplane","me","french fries","tickle","milk","climb","can (auxiliary)","pretend"
"523","toy (object)","hurry","hot","cereal","nice","before","old","share","today","cry","glasses","sing","close","swim","hello","downtown","climb","get","rain","grrr","heavy","block","lady","above","for","uh oh","hi","under","vroom","wet (description)","lollipop","bear","banana","touch","napkin","downtown","raisin","hate","clean (action)","run","he","shake","hat","keys","her","jump","stuck","hungry","fast","poor"
"524","for","gloves","pants","sauce","dry (action)","am","milk","popcorn","ice","much","cloud","hers","quiet","love","hurry","wait","donkey","old","butter","with","how","dirty","watch (action)","up","this","and","sneaker","yucky","people","outside","wet (description)","kiss","hi","build","day","porch","nice","uncle","all","down","other","fit","dirty","white","like","hot","is","radio","be","sneaker"
"525","leg","today","juice","do","shower","are","today","some","shake","movie","hug","happy","raisin","drop","scared","not","meow","butter","wet (description)","tear","shake","watch (object)","tv","present","juice","drive","glue","uh oh","fish (food)","yesterday","coffee","uncle","sleep","tummy","myself","love","beside","they","thirsty","mine","get","every","these","mittens","ouch","soft","toe","street","write","noisy"
"526","hug","him","grrr","vagina","chair","yum yum","day","beach","sister","climb","why","police","too","vagina","say","yes","fix","naughty","loud","chocolate","yes","coffee","fit","knock","squirrel","asleep","say","it","then","stand","find","if","cow","share","corn","fireman","sweep","chocolate","me","choo choo","vroom","our","breakfast","hug","alligator","glue","roof","we","pretty","this"
"527","belt","more","play","washing machine","washing machine","take","fish (animal)","yesterday","see","first","none","make","wet (description)","later","dirty","cowboy","please","please","story","flower","then","cowboy","push","it","off","sad","home","throw","listen","dark","bad","dryer","off","knock","bad","mad","pumpkin","fit","sick","donut","sad","play","time","tickle","clap","flag","did","need","and","swim"
"528","gonna","dress (object)","sleepy","yes","kick","stand","asleep","around","lick","toy (object)","mouth","stop","swim","taste","much","cute","peanut butter","tv","food","jump","other","am","dump","big","french fries","clock","taste","draw","puppy","sleepy","dog","any","clean (action)","butterfly","garden","camping","gentle","yum yum","wanna","bring","owie","peas","this","down","off","a","gas station","hair","hurry","need"
"529","any","love","have","please","potty","she","wet (description)","water (beverage)","quiet","mine","under","swim","kitty","happy","our","what","hug","shh","naughty","people","carry","better","go","grapes","wind","lamb","careful","mine","first","listen","drop","shoe","carry","ankle","wait","school","talk","noodles","firetruck","me","medicine","orange (food)","sit","balloon","stand","hungry","full","fish (animal)","cake","will"
"530","away","cat","bump","were","need","hard","tricycle","bird","sing","swim","cereal","chase","his","ride","lollipop","choo choo","quack quack","into","time","stop","knee","high","brown","sing","bad","they","tape","noodles","be","grandpa","into","this","much","toothbrush","is","if","gotta","poor","play","uh oh","sit","if","sad","wet (description)","there","tree","later","hurry","this","dinner"
"531","flag","picture","bread","it","awake","carry","this","gonna","morning","melon","uh oh","sprinkler","hers","stay","yellow","it","wanna","walker","potato","bench","ear","soft","strawberry","tiger","my","tomorrow","moo","paint (action)","today","doll","boy","beside","moon","sidewalk","nurse","cute","sing","see","applesauce","underpants","pick","wolf","find","above","comb (object)","spill","see","duck","then","drive"
"532","blow","sink","fit","lawn mower","boots","cute","could","because","wind","up","bear","any","bad","monkey","swim","bubbles","is","more","cut","another","look","to","egg","lady","sticky","pen","slipper","spill","yogurt","bicycle","washing machine","empty","with","closet","gas station","myself","shopping","sweep","clock","pull","behind","couch","choo choo","fast","washing machine","fast","find","loud","present","scared"
"533","how","pull","pen","his","out","pudding","tickle","stand","catch","bucket","need","too","time","hold","bye","baa baa","because","brown","not","be","don't","strawberry","bye","meat","pony","gentle","need","hammer","our","cow","before","of","cold","bump","none","next to","pick","aunt","bite","juice","meow","bucket","stop","us","splash","hard","hot","coat","choo choo","big"
"534","yogurt","bite","deer","big","jelly","drink (action)","paint (action)","listen","after","owie","soap","kick","lawn mower","sleepy","black","fit","coffee","bedroom","jeans","hafta","get","plant","quiet","skate","good night","girl","read","store","walker","our","foot","red","every","meow","night","pizza","truck","spaghetti","boots","think","more","clean (action)","underpants","play dough","sock","noisy","buy","rock (object)","after","bunny"
"535","shh","nails","tape","wake","close","night","ant","he","scared","a lot","paint (action)","pickle","see","finish","hear","wake","kiss","yourself","into","sweep","moo","quiet","beads","down","downtown","later","some","nuts","fit","fix","be","out","slide (object)","close","lamb","today","tickle","cake","bubbles","yellow","gum","what","ant","please","build","leg","more","coffee","popsicle","red"
"536","lemme","wash","sing","love","stop","alligator","popsicle","take","him","lollipop","slow","this","beads","under","fit","shirt","cowboy","fine","broken","cold","sing","wait","empty","full","melon","clean (action)","if","another","pour","kick","bug","pudding","myself","about","red","their","woof woof","peanut butter","fall","mad","radio","old","banana","moo","yesterday","crayon","are","write","jeans","after"
"537","last","vroom","run","frog","blow","sister","french fries","above","comb (object)","french fries","take","orange (description)","comb (object)","pour","build","fine","skate","why","beside","medicine","over","wet (description)","into","first","flag","baa baa","room","sauce","good night","not","cry","clock","which (question)","yourself","radio","help","love","need","french fries","none","bath","pour","truck","cheerios","up","sing","hit","squirrel","hide","kick"
"538","kitty","coat","her","and","him","hate","baa baa","woof woof","people","spill","lamp","quack quack","dress (object)","lamb","mine","much","applesauce","build","they","a lot","jump","sleepy","clock","awake","awake","how","awake","jeans","grandma","cereal","around","who","behind","over","am","wake","moo","any","bump","like","ice cream","finish","strawberry","he","awake","take","outside","eat","not","can (auxiliary)"
"539","bear","go","do","have","sing","dirty","go","drive","share","yard","ant","belt","sled","go","your","drink (action)","yourself","ice cream","high chair","jelly","if","say","jelly","her","touch","meow","next to","now","morning","vroom","because","black","game","light","scared","bread","giraffe","paint (action)","uncle","wish","pancake","which (question)","stick","flower","sad","pick","us","will","because","break"
"540","beside","new","salt","heavy","nails","gotta","red","none","grandpa","rock (object)","vanilla","wipe","night","there","would","old","hafta","my","all","cook","yum yum","off","full","the","hamburger","take","party","moo","later","shh","fit","clap","try","applesauce","cheek","spill","naughty","sad","candy","flag","under","bottle","peas","talk","old","will","drink (action)","blow","food","glass"
"541","do","down","stairs","say","big","pickle","ouch","night","gloves","down","wish","woods","pony","wind","jeans","with","no","tired","dance","pizza","donkey","i","touch","none","love","beads","present","stay","him","school","crayon","open (action)","better","bread","stay","play","tissue","them","was","mouse","no","yard","was","box","goose","coat","shake","salt","carrots","stay"
"542","first","broom","circus","bye","buy","stick","tiny","this","red","cow","sun","dry (action)","be","close","mittens","tights","same","time","why","train","hear","knee","hi","thirsty","sprinkler","thank you","my","those","did","quack quack","vroom","scared","and","beside","school","so","push","bench","under","yourself","sleep","night","donut","toy (object)","then","are","under","draw","hand","where (question)"
"543","these","full","would","push","we","build","us","myself","wish","this","truck","soda","moo","them","fast","scared","beads","watch (object)","build","sandwich","peekaboo","that","tray","run","peas","pillow","beans","say","jelly","wanna","talk","walk","button","chair","cheerios","smile","him","puzzle","first","about","when (question)","day","think","fit","bring","his","another","about","skate","slide (object)"
"544","lollipop","sticky","not","paint (action)","for","spill","turkey","talk","awake","after","fast","nurse","did","comb (object)","fall","cold","zebra","make","tiny","our","high","knock","bad","wake","all","jacket","coat","today","lick","milk","ice","your","cut","to","potato","clap","heavy","but","noisy","good","money","hot","hi","star","sofa","tiger","some","moo","strawberry","bee"
"545","wake","why","lemme","shh","to","cheerios","say","pencil","the","bear","meow","beside","poor","where (question)","off","so","ear","am","other","baby","bicycle","grapes","people","coffee","watch (action)","cow","uh oh","them","bye","choo choo","none","store","teddybear","cold","kick","were","go","gentle","your","monkey","hungry","kick","dance","asleep","loud","loud","bat","asleep","love","lemme"
"546","pick","me","that","throw","white","nice","orange (description)","cheerios","outside","nurse","where (question)","their","tiny","french fries","down","soft","too","airplane","jelly","what","vanilla","bottle","about","rip","spill","yogurt","out","airplane","hard","every","clean (action)","elephant","share","sled","butter","me","turkey","hose","hungry","book","dark","look","away","like","but","say","woof woof","go","tv","thank you"
"547","pancake","chalk","hide","downtown","green","lemme","time","play pen","will","think","coffee","cry","behind","that","tv","windy","black","climb","man","watch (object)","scared","put","cook","out","could","carry","pattycake","vacuum","that","try","nose","alligator","vanilla","fish (animal)","buy","sad","a","under","give","hello","sandwich","sit","jar","pattycake","taste","orange (food)","show","shoe","splash","tractor"
"548","my","dirty","because","here","broken","owl","teddybear","camera","does","meow","dark","like","penguin","him","no","bump","juice","fit","lawn mower","and","cow","rip","sing","make","moo","better","chocolate","rocking chair","on","with","fix","before","playground","and","frog","ouch","play pen","at","no","other","rooster","clock","stuck","hers","listen","bunny","but","gum","mad","truck"
"549","listen","cheerios","was","wipe","vanilla","baa baa","some","there","downtown","camping","in","hamburger","peekaboo","shake","because","meow","coke","quack quack","old","carrots","high chair","dark","hafta","paint (action)","candy","cold","hate","knee","cold","pretty","climb","nice","baa baa","washing machine","pretend","shower","on","comb (object)","does","now","awake","more","garden","beside","hate","scared","boots","sun","loud","clock"
